month,historyTxCount,predictedIncome,actualIncome,incomeAbsErrPct,predictedExpenses,actualExpenses,expenseAbsErrPct,predictedNet,actualNet,netAbsErr
2024-05,125,426.76,4004.80,89.34,469.91,599.86,21.66,-43.15,3404.94,3448.09
2024-06,164,677.83,1823.58,62.83,411.31,998.61,58.81,266.52,824.97,558.45
2024-07,228,613.98,1676.71,63.38,506.02,1451.41,65.14,107.96,225.30,117.34
2024-08,273,969.38,1737.06,44.19,578.47,875.60,33.93,390.91,861.46,470.55
2024-09,316,642.71,388.22,65.55,547.93,830.64,34.04,94.78,-442.42,537.20
2024-10,359,750.41,1884.99,60.19,356.87,867.30,58.85,393.54,1017.69,624.15
2024-11,423,661.55,1059.58,37.56,645.15,1180.41,45.35,16.40,-120.83,137.23
2024-12,473,674.00,1326.23,49.18,521.25,1725.87,69.80,152.75,-399.64,552.39
2025-01,522,920.28,11590.68,92.06,857.01,684.56,25.19,63.27,10906.12,10842.85
2025-02,574,373.03,706.92,47.23,474.15,881.37,46.20,-101.12,-174.45,73.33
2025-03,623,703.48,1132.12,37.86,586.17,2745.84,78.65,117.31,-1613.72,1731.03
2025-04,704,757.66,557.23,35.97,446.19,2174.43,79.48,311.47,-1617.20,1928.67
2025-05,752,900.47,8735.55,89.69,937.63,3410.56,72.51,-37.16,5324.99,5362.15
2025-06,820,1159.03,1414.70,18.07,965.40,2232.75,56.76,193.63,-818.05,1011.68
2025-07,865,1506.86,2010.29,25.04,956.07,2325.57,58.89,550.79,-315.28,866.07
2025-08,903,2836.04,6330.44,55.20,943.08,4414.44,78.64,1892.96,1916.00,23.04
2025-09,962,1483.07,3049.39,51.37,1716.81,3348.26,48.73,-233.74,-298.87,65.13
2025-10,1003,2606.73,2981.28,12.56,2848.58,3050.04,6.61,-241.85,-68.76,173.09
2025-11,1045,3524.02,1879.84,87.46,3328.31,3897.84,14.61,195.71,-2018.00,2213.71
2025-12,1105,4201.49,5140.31,18.26,2521.75,3437.99,26.65,1679.74,1702.32,22.58
2026-01,1150,13783.60,11125.38,23.89,2615.34,2907.44,10.05,11168.26,8217.94,2950.32
