month,historyTxCount,predictedIncome,actualIncome,incomeAbsErrPct,predictedExpenses,actualExpenses,expenseAbsErrPct,predictedNet,actualNet,netAbsErr
2024-05,125,426.76,4503.54,90.52,469.91,599.86,21.66,-43.15,3903.68,3946.83
2024-06,164,894.08,2942.18,69.61,411.31,998.61,58.81,482.77,1943.57,1460.80
2024-07,228,862.61,2660.82,67.58,506.02,1451.41,65.14,356.59,1209.41,852.82
2024-08,273,969.38,2542.04,61.87,578.47,875.60,33.93,390.91,1666.44,1275.53
2024-09,316,642.71,736.16,12.69,547.93,830.64,34.04,94.78,-94.48,189.26
2024-10,359,750.41,2796.41,73.17,356.87,867.30,58.85,393.54,1929.11,1535.57
2024-11,423,661.55,2366.07,72.04,645.15,1180.41,45.35,16.40,1185.66,1169.26
2024-12,473,804.35,2194.24,63.34,521.25,1725.87,69.80,283.10,468.37,185.27
2025-01,522,1098.03,12891.01,91.48,857.01,684.56,25.19,241.02,12206.45,11965.43
2025-02,574,636.12,1448.05,56.07,474.15,881.37,46.20,161.97,566.68,404.71
2025-03,623,481.14,2575.44,81.32,586.17,2745.84,78.65,-105.03,-170.40,65.37
2025-04,704,757.66,1030.92,26.51,446.19,2174.43,79.48,311.47,-1143.51,1454.98
2025-05,752,900.47,11123.08,91.90,937.63,3410.56,72.51,-37.16,7712.52,7749.68
2025-06,820,1961.90,2615.38,24.99,965.40,2232.75,56.76,996.50,382.63,613.87
2025-07,865,1506.86,2646.40,43.06,956.07,2325.57,58.89,550.79,320.83,229.96
2025-08,903,2864.06,7349.09,61.03,943.08,4414.44,78.64,1920.98,2934.65,1013.67
2025-09,962,2432.48,5463.54,55.48,1716.81,3348.26,48.73,715.67,2115.28,1399.61
2025-10,1003,2606.73,3889.85,32.99,2848.58,3050.04,6.61,-241.85,839.81,1081.66
2025-11,1045,3524.02,3253.73,8.31,3328.31,3897.84,14.61,195.71,-644.11,839.82
2025-12,1105,4944.87,7485.21,33.94,2521.75,3437.99,26.65,2423.12,4047.22,1624.10
2026-01,1150,3562.33,12057.40,70.46,2615.34,2907.44,10.05,946.99,9149.96,8202.97
